StoryID	WROSID	Epic	Summary	Phase	Assignee	Status
S-002	HRMS-0402	Candidate Engagement & AI Recruiter Platform	Store WhatsApp Messages	2	BE	Planned
S-003	HRMS-0403	Candidate Engagement & AI Recruiter Platform	Store Email Messages	2	BE	Planned
S-004	HRMS-0404	Candidate Engagement & AI Recruiter Platform	Store Web Portal Chat Messages	2	BE	Planned
S-007	HRMS-0407	Candidate Engagement & AI Recruiter Platform	Candidate Profile Completeness Engine	2	BE	Planned
S-008	HRMS-0408	Candidate Engagement & AI Recruiter Platform	Missing Fields Detection Engine	2	BE	Planned
S-010	HRMS-0410	Candidate Engagement & AI Recruiter Platform	Conversation Ownership & Takeover	2	BE	Planned
S-011	HRMS-0411	Candidate Engagement & AI Recruiter Platform	AI Recruiter Assignment Engine	2	BE	Planned
S-012	HRMS-0412	Candidate Engagement & AI Recruiter Platform	WhatsApp First Engagement — 60 Second Rule	2	BE	Planned
S-013	HRMS-0413	Candidate Engagement & AI Recruiter Platform	Email First Engagement — Parallel Channel	2	BE	Planned
S-018	HRMS-0418	Candidate Engagement & AI Recruiter Platform	Conversation State Manager	2	BE	Planned
S-019	HRMS-0419	Candidate Engagement & AI Recruiter Platform	Conversation Summary Auto-Generation	2	BE	Planned
S-021	HRMS-0421	Candidate Engagement & AI Recruiter Platform	Candidate Memory Store	2	BE	Planned
S-022	HRMS-0422	Candidate Engagement & AI Recruiter Platform	Candidate Facts Extraction Engine	2	BE	Planned
S-024	HRMS-0424	Candidate Engagement & AI Recruiter Platform	Candidate Qualification Questionnaire Engine	2	BE	Planned
S-025	HRMS-0425	Candidate Engagement & AI Recruiter Platform	AI Qualification Conversation Engine	2	BE	Planned
S-026	HRMS-0426	Candidate Engagement & AI Recruiter Platform	Candidate Response Parser	2	BE	Planned
S-027	HRMS-0427	Candidate Engagement & AI Recruiter Platform	Resume Upload via WhatsApp/Email	2	BE	Planned
S-028	HRMS-0428	Candidate Engagement & AI Recruiter Platform	Resume Parsing Engine	2	BE	Planned
S-029	HRMS-0429	Candidate Engagement & AI Recruiter Platform	Skill Extraction & Tagging from Resume	2	BE	Planned
S-030	HRMS-0430	Candidate Engagement & AI Recruiter Platform	Resume Completeness Score	2	BE	Planned
S-031	HRMS-0431	Candidate Engagement & AI Recruiter Platform	AI Prompt Framework	2	BE	Planned
S-032	HRMS-0432	Candidate Engagement & AI Recruiter Platform	Candidate Context Builder	2	BE	Planned
S-033	HRMS-0433	Candidate Engagement & AI Recruiter Platform	Intent Detection Engine	2	BE	Planned
S-034	HRMS-0434	AI Recruiter — Thunder Core	AI Response Generation	Future State	Backend — AI Squad	UPDATE — revised spec
S-035	HRMS-0435	Candidate Engagement & AI Recruiter Platform	Human Escalation Detection	2	BE	Planned
S-036	HRMS-0436	Candidate Engagement & AI Recruiter Platform	Candidate Sentiment Analysis	2	BE	Planned
S-037	HRMS-0437	Candidate Engagement & AI Recruiter Platform	Technical Qualification Score	2	BE	Planned
S-038	HRMS-0438	Candidate Engagement & AI Recruiter Platform	Compensation Fit Score	2	BE	Planned
S-039	HRMS-0439	Candidate Engagement & AI Recruiter Platform	Availability Score	2	BE	Planned
S-041	HRMS-0441	Candidate Engagement & AI Recruiter Platform	Follow-Up Scheduler	2	BE	Planned
S-042	HRMS-0442	Candidate Engagement & AI Recruiter Platform	No Response Detection	2	BE	Planned
S-043	HRMS-0443	Candidate Engagement & AI Recruiter Platform	Candidate Ghosting Detection	2	BE	Planned
S-044	HRMS-0444	Candidate Engagement & AI Recruiter Platform	Multi-Touch Outreach Campaign	2	BE	Planned
S-045	HRMS-0445	Candidate Engagement & AI Recruiter Platform	Candidate Reactivation Campaign	2	BE	Planned
S-046	HRMS-0446	Candidate Engagement & AI Recruiter Platform	Candidate Abandonment Prediction	2	BE	Planned
S-047	HRMS-0447	Candidate Engagement & AI Recruiter Platform	Interview Availability Collection	2	BE	Planned
S-048	HRMS-0448	Candidate Engagement & AI Recruiter Platform	Calendar Matching Engine	2	BE	Planned
S-049	HRMS-0449	Candidate Engagement & AI Recruiter Platform	Interview Confirmation via AI	2	BE	Planned
S-050	HRMS-0450	Candidate Engagement & AI Recruiter Platform	Interview Reminder Engine	2	BE	Planned
S-051	HRMS-0451	Candidate Engagement & AI Recruiter Platform	Interview Reschedule Workflow	2	BE	Planned
S-052	HRMS-0452	Candidate Engagement & AI Recruiter Platform	Interview No-Show Handling	2	BE	Planned
S-053	HRMS-0453	Candidate Engagement & AI Recruiter Platform	Offer Readiness Check	2	BE	Planned
S-054	HRMS-0454	Candidate Engagement & AI Recruiter Platform	Offer Release Notification via AI	2	BE	Planned
S-055	HRMS-0455	Candidate Engagement & AI Recruiter Platform	Offer FAQ Bot	2	BE	Planned
S-056	HRMS-0456	Candidate Engagement & AI Recruiter Platform	Offer Acceptance Tracking	2	BE	Planned
S-057	HRMS-0457	Candidate Engagement & AI Recruiter Platform	Document Collection Agent	2	BE	Planned
S-060	HRMS-0460	Candidate Engagement & AI Recruiter Platform	Drop Risk Prediction	2	BE	Planned
S-065	HRMS-0465	Candidate Engagement & AI Recruiter Platform	AI Daily Digest — Morning Report	2	BE	Planned
S-066	HRMS-0466	Candidate Engagement & AI Recruiter Platform	Supervisor Agent — Multi-Agent Coordinator	2	BE	Planned
S-067	HRMS-0467	Candidate Engagement & AI Recruiter Platform	Onboarding Agent	2	BE	Planned
S-068	HRMS-0468	Candidate Engagement & AI Recruiter Platform	Voice Calling Agent Framework	2	BE	Planned
S-069	HRMS-0469	Candidate Engagement & AI Recruiter Platform	Multi-Channel Preference Detection	2	BE	Planned
S-072	HRMS-0472	Candidate Engagement & AI Recruiter Platform	Objection Handling Engine	2	BE	Planned
S-073	HRMS-0473	Candidate Engagement & AI Recruiter Platform	Candidate Preference Capture Engine	2	BE	Planned
S-076	HRMS-0476	Candidate Engagement & AI Recruiter Platform	Conversation Audit Log	2	BE	Planned
S-078	HRMS-0478	Candidate Engagement & AI Recruiter Platform	Event Emission Layer for AI Actions	2	BE	Planned
S-079	HRMS-0479	Candidate Engagement & AI Recruiter Platform	Production Load Testing — AI Recruiter	2	BE	Planned
S-081	HRMS-P101	Candidate Portal & Universal Identity Engine	Universal Candidate Identity Engine	2	BE	Planned
S-082	HRMS-P102	Candidate Portal & Universal Identity Engine	LinkedIn Entry — Skeleton Profile Creation	2	BE	Planned
S-083	HRMS-P103	Candidate Portal & Universal Identity Engine	Cross-Channel Conversation Merge	2	BE	Planned
S-084	HRMS-P104	Candidate Portal & Universal Identity	Session Resume	Future State	Backend	UPDATE — Ready for Build
S-091	HRMS-P111	Candidate Portal & Universal Identity Engine	Magic Link Authentication	2	BE	Planned
S-093	HRMS-P113	Candidate Portal & Universal Identity Engine	Candidate Source Attribution Tracking	2	BE	Planned
S-094	HRMS-P114	Candidate Portal & Universal Identity Engine	WhatsApp Deep Link to Portal	2	BE	Planned
S-106	HRMS-P211	Employee Portal — Admin & Technical Split	Mobile-First Notifications for Technical Team	2	BE	RETIRED — folded into Portal Notification Center (S-105) as mobile config
S-107	HRMS-P601	Interview Decision Engine & Compliance Rules	Experience Eligibility Engine — <5yr Hard Rule	2	BE	Planned
S-108	HRMS-P602	Interview Decision Engine & Compliance Rules	Experience Calculation Logic	2	BE	Planned
S-109	HRMS-P603	Interview Decision Engine & Compliance Rules	Candidate Ineligibility Auto-Message	2	BE	Planned
S-111	HRMS-P605	Interview Decision Engine & Compliance Rules	Override Escalation Notifications	2	BE	Planned
